journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Abacus,abacus,0001-3072,1467-6281,Wiley-Blackwell Publishing,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Academy of Management Annals,academy of management annals,1941-6520,1941-6067,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Discoveries,academy of management discoveries,2168-1007,,Academy of Management,A*,3507,,,False,False,False,False,ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management',include_candidate
Academy of Management Journal,academy of management journal,0001-4273,1948-0989,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Learning and Education,academy of management learning and education,1537-260X,1944-9585,Academy of Management,A*,3507,4*,MDEV&EDU,False,False,False,False,AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field MDEV&EDU; title keyword 'academy of management',include_candidate
Academy of Management Perspectives,academy of management perspectives,1558-9080,1943-4529,Academy of Management,A,3507,4,ETHICS-CSR-MAN,False,False,False,False,AJG2024_4;ABDC_A,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management',include_candidate
Academy of Management Review,academy of management review,0363-7425,1930-3807,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Accident Analysis and Prevention,accident analysis and prevention,0001-4575,1879-2057,Elsevier,A*,3509,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Accounting and Business Research,accounting and business research,0001-4788,2159-4260,Taylor & Francis Online,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting and Finance,accounting and finance,0810-5391,1467-629X,Wiley-Blackwell Publishing,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting Auditing and Accountability Journal,accounting auditing and accountability journal,0951-3574,1758-4205,Emerald Group Publishing Limited,A*,3501,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Accounting Education,accounting education,0963-9284,1468-4489,Taylor & Francis Online,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting Forum,accounting forum,0155-9982,1467-6303,Taylor & Francis Online,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting History,accounting history,1032-3732,1749-3374,Sage Publications,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting Horizons,accounting horizons,0888-7993,1558-7975,American Accounting Association,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Accounting in Europe,accounting in europe,1744-9480,1744-9499,Taylor & Francis Online,A,3501,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
"Accounting, Organizations and Society",accounting organizations and society,0361-3682,1873-6289,Elsevier,A*,3501,4*,ACCOUNT,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,False,,excluded_by_scope
ACM Transactions on Computer-Human Interaction,acm transactions on computer human interaction,,,,,,,,False,False,True,False,HCI_SJR_Q1,True,HCI selected journal with SJR Q1,include_candidate
ACM Transactions on Human-Robot Interaction,acm transactions on human robot interaction,,,,,,,,False,False,True,False,HCI_SJR_Q1,True,HCI selected journal with SJR Q1,include_candidate
ACM Transactions on Privacy and Security,acm transactions on privacy and security,,,,,,,,False,False,True,False,HCI_SJR_Q1,True,HCI selected journal with SJR Q1,include_candidate
Acta Psychologica,acta psychologica,0001-6918,1873-6297,Elsevier,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
Adelaide Law Review,adelaide law review,0065-1915,,University of Adelaide,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
